iter,objective,grad_norm
0.000000000000000000e+00,5.730098361286532963e+03,8.592209215483843582e+04
1.000000000000000000e+00,5.686156316467522629e+02,1.455551716011500866e+04
2.000000000000000000e+00,3.690254683445321575e+02,7.824831023378582358e+03
3.000000000000000000e+00,3.033160168679996787e+02,5.695258266503441519e+03
4.000000000000000000e+00,2.663811615652173828e+02,4.669473756313816011e+03
5.000000000000000000e+00,2.408805937548846430e+02,4.032157865573864001e+03
6.000000000000000000e+00,2.215920063413639127e+02,3.582503886034181960e+03
7.000000000000000000e+00,2.062106403537924280e+02,3.247599252247046479e+03
8.000000000000000000e+00,1.934872539212776701e+02,2.981585780992446416e+03
9.000000000000000000e+00,1.827122635714764556e+02,2.763882092985297277e+03
1.000000000000000000e+01,1.734163358902548850e+02,2.582089801179134156e+03
1.100000000000000000e+01,1.652775125781333827e+02,2.427616607057895635e+03
1.200000000000000000e+01,1.580651700885849493e+02,2.293610584006783483e+03
1.300000000000000000e+01,1.516138635404019226e+02,2.176307231469115777e+03
1.400000000000000000e+01,1.457951076442969622e+02,2.072033657146814676e+03
1.500000000000000000e+01,1.405130199270851676e+02,1.978655097464535856e+03
1.600000000000000000e+01,1.356897479904558566e+02,1.894442210859669103e+03
1.700000000000000000e+01,1.312641037408728266e+02,1.817286995436614234e+03
1.800000000000000000e+01,1.271880125259269505e+02,1.746404080113775763e+03
1.900000000000000000e+01,1.234199033627744626e+02,1.681743103356880056e+03
2.000000000000000000e+01,1.199227429592204572e+02,1.622123887713129989e+03
2.100000000000000000e+01,1.166666429901461868e+02,1.566940848823317083e+03
2.200000000000000000e+01,1.136267766176970468e+02,1.515202438701856636e+03
2.300000000000000000e+01,1.107828079354109718e+02,1.466810385603897203e+03
2.400000000000000000e+01,1.081160154097164110e+02,1.421607302483216017e+03
2.500000000000000000e+01,1.056099563535360204e+02,1.379018516688311820e+03
2.600000000000000000e+01,1.032508739819864161e+02,1.338714668116804205e+03
2.700000000000000000e+01,1.010265940572068644e+02,1.300945413643334859e+03
2.800000000000000000e+01,9.892498830988698444e+01,1.265466076063234595e+03
2.900000000000000000e+01,9.693578613114881648e+01,1.231745570428217434e+03
